bin,disposition,event_H01,reference_H01,Delta_H01,event_H11,reference_H11,Delta_H11,event_m,reference_m
B1,GOA,0.008152173913043478,0.0,0.008152173913043478,0.1449510634293243,0.16847826086956522,-0.023527197440240927,0.15310323734236778,0.16847826086956522
B1,RTF,0.0,0.021739130434782608,-0.021739130434782608,0.1741562523866724,0.20108695652173914,-0.026930704135066735,0.1741562523866724,0.22282608695652173
B1,NAT,0.03440757691329774,0.016304347826086956,0.018103229087210782,0.3456400614673664,0.40217391304347827,-0.05653385157611185,0.38004763838066413,0.41847826086956524
B1,UNF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1,OTHER,0.0,0.0,0.0,0.001976284584980237,0.010869565217391304,-0.008893280632411068,0.001976284584980237,0.010869565217391304
B1,MISSING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2,GOA,0.08099096025925294,0.0,0.08099096025925294,0.11372736117022574,0.2146341463414634,-0.10090678517123768,0.19471832142947867,0.2146341463414634
B2,RTF,0.00662020905923345,0.014634146341463414,-0.008013937282229964,0.019999069050651824,0.17073170731707318,-0.15073263826642136,0.026619278109885274,0.18536585365853658
B2,NAT,0.03181492708986222,0.01951219512195122,0.012302731967911002,0.12203472189460773,0.3121951219512195,-0.19016040005661178,0.15384964898446996,0.33170731707317075
B2,UNF,0.0012195121951219512,0.0,0.0012195121951219512,0.0,0.0,0.0,0.0012195121951219512,0.0
B2,OTHER,0.0,0.0,0.0,0.01951219512195122,0.0,0.01951219512195122,0.01951219512195122,0.0
B2,MISSING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3,GOA,0.021541950113378682,0.02040816326530612,0.0011337868480725613,0.0990194928546131,0.17006802721088435,-0.07104853435627125,0.12056144296799179,0.19047619047619047
B3,RTF,0.031509155386292446,0.04081632653061224,-0.009307171144319795,0.09537780629493177,0.23809523809523808,-0.14271743180030633,0.1268869616812242,0.2789115646258503
B3,NAT,0.1468839908495081,0.0816326530612245,0.0652513377882836,0.17606492051580433,0.2925170068027211,-0.11645208628691675,0.32294891136531245,0.37414965986394555
B3,UNF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3,OTHER,0.010634138712956445,0.0,0.010634138712956445,0.003918233960250767,0.027210884353741496,-0.023292650393490728,0.014552372673207213,0.027210884353741496
B3,MISSING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B4,GOA,0.029129319165515657,0.0084985835694051,0.020630735596110557,0.20565173522285618,0.18413597733711048,0.021515757885745695,0.23478105438837182,0.1926345609065156
B4,RTF,0.042825871012839856,0.014164305949008499,0.028661565063831357,0.0688105303056503,0.31728045325779036,-0.24846992295214004,0.11163640131849016,0.33144475920679883
B4,NAT,0.05161724488919957,0.039660056657223795,0.011957188231975772,0.2511928132821121,0.24362606232294617,0.007566750959165952,0.3028100581713117,0.28328611898017
B4,UNF,0.0,0.0,0.0,0.0007814789489108138,0.0,0.0007814789489108138,0.0007814789489108138,0.0
B4,OTHER,0.007056859571023876,0.0,0.007056859571023876,0.016816337057915985,0.014164305949008499,0.0026520311089074863,0.02387319662893986,0.014164305949008499
B4,MISSING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5,GOA,0.056021116514943674,0.0,0.056021116514943674,0.09428306190758298,0.12345679012345678,-0.0291737282158738,0.15030417842252666,0.12345679012345678
B5,RTF,0.004652435686918446,0.012345679012345678,-0.007693243325427233,0.12706735501541802,0.3004115226337449,-0.17334416761832686,0.13171979070233647,0.31275720164609055
