estimator,window_start,window_label,point,p025,p975
standardized_common_support,2021-08-29,Hurricane Ida,0.5071816170350076,0.4597132517251071,0.5656303695685723
standardized_common_support,2022-05-15,top_stage_reference_1,0.3282019628990655,0.2655461601733552,0.3954149392944389
standardized_common_support,2022-05-22,top_stage_reference_2,0.3082923270142067,0.25278938898578124,0.3724677816443771
standardized_common_support,2024-05-12,top_stage_reference_3,0.3064442770597925,0.2502267514125163,0.38796097970262444
standardized_common_support,2024-05-05,top_stage_reference_4,0.2903854315619021,0.23546963280560573,0.3659717331436788
standardized_common_support,2023-12-10,top_stage_reference_5,0.2656402116402115,0.16301620019887023,0.376381746031746
raw_full_count,2021-08-29,Hurricane Ida,0.5319863703988098,0.47538033306138117,0.6014640423285502
raw_full_count,2022-05-15,top_post_change_reference_1,0.3098150839793282,0.25990488862605954,0.37988533591731266
raw_full_count,2023-12-10,top_post_change_reference_2,0.29783018867924527,0.21396226415094338,0.3843396226415094
raw_full_count,2022-06-19,top_post_change_reference_3,0.2958642798197169,0.23836995216428583,0.36362915000317403
raw_full_count,2024-05-05,top_post_change_reference_4,0.2941412091433454,0.2501292873724846,0.3734801272101391
raw_full_count,2024-05-12,top_post_change_reference_5,0.2926477802305617,0.22378575562815622,0.37733014471425064
