alternating_phase,selection_rule,reference_count,denominator_including_Ida,Ida_raw_max_cell,largest_reference_raw_max_cell,Ida_rank_including_Ida,first_reference_start,last_reference_start
1,"chronological post-change references at indices 1, 3, ...",76,77,0.5319863703988098,0.29783018867924527,1,2021-08-08,2024-12-15
2,"chronological post-change references at indices 2, 4, ...",75,76,0.5319863703988098,0.3098150839793282,1,2021-08-15,2024-12-08
