rank,window_start,M_max_cell,U_full_upper
1,2021-07-18,0.06650272163228436,0.06256707897332375
2,2022-10-30,0.06654207137400414,0.03284295787763194
3,2023-02-05,0.07296539186491338,0.041496341066623726
4,2023-11-12,0.07300489365706757,0.06650495460881935
5,2022-11-06,0.07395729270729272,0.044067027484365
6,2021-12-05,0.07433895305796133,0.05379106559454733
7,2023-08-27,0.07465275952118058,0.061775591263373224
8,2021-08-15,0.07577031347523151,0.0441000182001783
9,2023-11-05,0.07667364574052427,0.040550701785310055
10,2022-10-23,0.07748746867167922,0.06281021018802974
11,2021-11-07,0.08121401130986652,0.04395742826747814
12,2022-03-27,0.08170323285296545,0.06109600141220458
13,2022-05-08,0.08218752595531531,0.040767314038248695
14,2022-01-09,0.08305825584671739,0.055413131538124015
15,2021-08-08,0.08350593278538866,0.06361353548615443
16,2024-02-25,0.0850533609327579,0.06250973248630148
17,2022-12-11,0.08554593554593555,0.05255457173142009
18,2023-03-12,0.08592227344713846,0.05090992724054918
19,2024-07-28,0.08620888487765742,0.03999193588932057
20,2021-10-31,0.08686861909664215,0.04522402366894368
21,2022-05-01,0.08760496262423506,0.04682627494370663
22,2024-06-16,0.08895941015506233,0.06312134592050123
23,2022-03-13,0.08938957217645746,0.06907410678402412
24,2024-08-18,0.0897943214844623,0.05397266682367298
25,2024-10-27,0.09187323331158946,0.0371782930518988
26,2022-01-23,0.09242325350263672,0.07326594345825116
27,2023-08-20,0.09457496526462043,0.0687973595399144
28,2022-04-24,0.09547242423574058,0.04641284541722027
29,2021-10-17,0.0960881531269881,0.042026840036497204
30,2022-12-18,0.09907210959191153,0.07968128635112708
31,2021-11-28,0.10027754231529196,0.07181597038133965
32,2021-12-12,0.10065766287592874,0.056070956490434254
33,2023-03-05,0.10070179453439368,0.06408223186245615
34,2022-06-12,0.1012875122500791,0.054124788844261154
35,2022-01-30,0.10128799745576061,0.058754197834205005
36,2022-03-20,0.10154655801714624,0.05337375182181189
37,2024-11-17,0.10180391435621555,0.050454587882177576
38,2024-07-21,0.10191188493410311,0.07232192845873064
39,2023-02-12,0.10192751932665473,0.05435183518100093
40,2022-02-06,0.10217011496219582,0.05882681882243304
41,2024-11-10,0.10232854147948484,0.06605708952818759
42,2024-04-07,0.10240285282898917,0.07296206573955273
43,2024-06-23,0.10302488242902752,0.04187819426368124
44,2021-10-24,0.10364878177378177,0.05393523097682105
45,2021-09-26,0.104031465093412,0.07327608604450093
46,2023-04-02,0.10426096426096428,0.06861628086196551
47,2023-01-29,0.10525416917821985,0.045528739385926026
48,2023-10-15,0.10541858426473809,0.06415969390619741
49,2022-04-10,0.1055517372652923,0.06614830447720763
50,2022-05-29,0.1057077279886948,0.08064862935369468
51,2022-11-27,0.10809499243925474,0.08840895444878097
52,2024-07-07,0.1083652811407049,0.055413353907352414
53,2024-03-03,0.10872728321794536,0.06369982277055067
54,2023-08-13,0.10968832093832095,0.05786321317571318
55,2022-08-07,0.11041453777505278,0.06564458043138055
56,2023-03-19,0.11080079966090332,0.09125277490965383
57,2024-04-14,0.11122124345227057,0.04874888749379143
58,2023-04-23,0.11223592524398564,0.0463710168231682
59,2023-07-16,0.11229029851478828,0.07617896492269768
60,2023-01-22,0.11232845341971369,0.06412770534939488
61,2023-09-17,0.11368317165971922,0.06243816267964834
62,2023-07-09,0.11394080996884735,0.06589976331074157
63,2022-02-20,0.11400947449529931,0.06686829248470828
64,2023-06-04,0.11452034939592147,0.06213036006814612
65,2024-09-22,0.11491666563074932,0.06594295269465934
66,2022-10-16,0.11538133190680963,0.06409666722166724
67,2024-03-10,0.11559267937944409,0.055820959441838694
68,2024-09-15,0.116778455749044,0.06953943492405032
69,2021-07-11,0.11680694409118503,0.07146684697616316
70,2022-08-14,0.11725162094807141,0.08835875107773608
71,2021-09-19,0.11807327326535011,0.04942110535465465
72,2023-03-26,0.11837214052287579,0.07934284709064567
73,2024-06-30,0.11944444444444441,0.09221098502352908
74,2024-03-24,0.11980531905905041,0.060117464850145394
75,2023-10-22,0.12000944956295771,0.09679564029670944
76,2022-02-13,0.1202528735632184,0.05910040320102154
77,2024-08-11,0.12041402768003753,0.08718375045582324
78,2022-10-09,0.12057289484708843,0.085010943941519
79,2024-03-31,0.12081417030548881,0.09358326730524943
80,2024-10-20,0.1209397163120567,0.05331819380678952
81,2024-08-25,0.12122468218056455,0.08731503033087307
82,2024-07-14,0.12185452162516383,0.059387745244726176
83,2024-05-19,0.12375303945816767,0.04517053492188795
84,2021-10-03,0.12480663982764821,0.04449079630088845
85,2023-10-29,0.12489837101484687,0.0628375224918348
86,2022-09-11,0.1264695200028166,0.07874970872401339
87,2024-04-28,0.1269628875398106,0.08107449567102709
88,2021-10-10,0.12748436229859172,0.0539039055988997
89,2021-12-26,0.12875597684757994,0.0722026033433177
90,2024-10-13,0.12925677477307915,0.06048586399826071
91,2022-07-31,0.12928452616335115,0.08139887574381073
92,2023-06-18,0.1294675797730744,0.09233812681581693
93,2023-10-08,0.12952523311267705,0.04018480508560753
94,2023-05-07,0.12996122190566634,0.05309032111046605
95,2022-09-18,0.1303534740263428,0.0635483017909862
96,2024-12-08,0.13059065191039862,0.05169044097288543
97,2023-09-10,0.13189287564287566,0.06530803513616013
98,2022-02-27,0.1325614761848474,0.06583711117031736
99,2022-04-03,0.1330660209825554,0.0542288741408225
100,2021-08-22,0.1345529032869186,0.06666006731366211
101,2024-02-04,0.13476498357963876,0.08241496918559138
102,2023-08-06,0.13543909489633177,0.060190606351809076
103,2023-04-16,0.1358027297232159,0.08431987810474671
104,2024-06-02,0.13580992026221086,0.06479001886509901
105,2023-09-24,0.13751359225292878,0.09246202518188801
106,2024-03-17,0.13802978523648912,0.06314623031903041
107,2023-05-28,0.13845019659239843,0.059672051770061144
108,2022-11-13,0.1386527293844367,0.05706176622167275
109,2022-12-04,0.13901602557990222,0.10202628581267517
110,2022-10-02,0.1390646414855901,0.048688303608700925
111,2021-09-12,0.13947981137636312,0.042482108397435055
112,2024-08-04,0.14006529369808346,0.06852912379768475
113,2024-11-03,0.14026553996020602,0.07164037268140042
114,2023-01-08,0.1441739172508403,0.06959256197179489
115,2023-07-30,0.1459646213377557,0.0635506928874276
116,2022-07-24,0.1463426345485778,0.08124984542323958
117,2021-07-25,0.14635656227453103,0.061328890218107154
118,2024-12-15,0.1478768420063967,0.061777760199687115
119,2024-10-06,0.1486068441713603,0.10488724660275908
120,2022-07-10,0.14968494769049287,0.11586820344736984
121,2024-12-29,0.15014851601390064,0.07000058356676009
122,2022-06-05,0.15032527607862067,0.04624832926887986
123,2024-02-18,0.15137626433922727,0.07667055324480751
124,2023-07-23,0.15158529741863075,0.07448786602155397
125,2021-11-14,0.15377530765856973,0.03535303210938863
126,2022-08-28,0.15714551705335117,0.10034531442516356
127,2023-12-03,0.15939153439153436,0.07587037037037035
128,2024-09-29,0.16017163635584686,0.10377612553696144
129,2023-06-25,0.16072069905403238,0.05981625230671659
130,2024-12-01,0.1611193502060375,0.10056964158077472
131,2024-06-09,0.16379595629901625,0.07673802829949083
132,2023-04-30,0.16446402349486056,0.05053745541278713
133,2023-05-14,0.16647794296099383,0.09705743771179205
134,2024-04-21,0.1668700396825397,0.07554118775631033
135,2023-05-21,0.17141144974006167,0.10832815525696471
136,2023-10-01,0.17498233631653326,0.09042381091233798
137,2022-07-17,0.18279826136969,0.1094034728618514
138,2021-12-19,0.18326228778511028,0.07961391468682326
139,2022-01-02,0.1919637436030879,0.0636097035941829
140,2022-03-06,0.19316391577532233,0.059023789592503526
141,2023-11-26,0.19696969696969696,0.12660943093880275
