month,n,dispatch_share,arrival_share,j01_share,j01_given_arrival
2020-01-01,11414,0.9999123882950762,0.9997371648852287,0.0,0.0
2020-02-01,10001,0.9998000199980002,0.9998000199980002,0.0,0.0
2020-03-01,12112,0.999669749009247,0.9995871862615587,0.0,0.0
2020-04-01,13665,0.9998536406878887,0.9998536406878887,0.0,0.0
2020-05-01,15986,1.0,0.9999374452646065,0.0,0.0
2020-06-01,14922,0.9999329848545772,0.9999329848545772,0.0,0.0
2020-07-01,13909,0.9997843123157668,0.9997843123157668,0.0,0.0
2020-08-01,13942,0.999856548558313,0.999856548558313,0.0,0.0
2020-09-01,15131,0.999933910514837,0.9998017315445112,0.0,0.0
2020-10-01,13534,0.9996305600709324,0.9996305600709324,0.0,0.0
2020-11-01,12810,0.9999219359875098,0.9999219359875098,0.0,0.0
2020-12-01,13598,0.9998529195469922,0.9997793793204883,0.0,0.0
2021-01-01,16205,1.0,1.0,0.0,0.0
2021-02-01,14386,0.9995829278465175,0.9994439037953566,0.0,0.0
2021-03-01,15771,0.9999365924798681,0.9999365924798681,0.0,0.0
2021-04-01,15645,0.9999360818152765,0.9998721636305529,0.0,0.0
2021-05-01,14889,0.999932836322117,0.999865672644234,0.0,0.0
2021-06-01,14452,1.0,1.0,0.0,0.0
2021-07-01,14927,0.8809539760166142,1.0,0.1190460239833858,0.1190460239833858
2021-08-01,14183,0.006839173658605373,0.9991539166607911,0.9923147430021857,0.9931550349304918
2021-09-01,12177,0.00698037283403137,0.9990145355999015,0.9920341627658701,0.9930127414714345
2021-10-01,13396,0.0075395640489698415,0.9991788593610033,0.9916392953120334,0.9924542398206948
2021-11-01,12623,0.005941535292719639,0.9993662362354432,0.9935039214132932,0.9941339674990091
2021-12-01,11501,0.007738457525432571,0.9992174593513607,0.9914790018259282,0.9922554820744866
2022-01-01,11543,0.008836524300441826,0.9992203066793728,0.990383782378931,0.9911565805444772
2022-02-01,9973,0.00752030482302216,0.9988970219592901,0.991376717136268,0.9924713912868902
2022-03-01,10987,0.00682624920360426,0.9994539000637117,0.9927186675161555,0.9932610873326655
2022-04-01,10696,0.006824981301421092,0.9996260284218399,0.9928010471204188,0.9931724653946876
2022-05-01,9074,0.010469473220189552,0.9992285651311439,0.9887590919109543,0.9895224440277931
2022-06-01,8504,0.010583254938852305,0.999412041392286,0.9888287864534336,0.9894105188845747
2022-07-01,7736,0.012150982419855223,0.999482936918304,0.9873319544984488,0.987842731505432
2022-08-01,8718,0.012158752007341133,0.9990823583390686,0.9870383115393438,0.9879448909299655
2022-09-01,8204,0.010726474890297415,0.9990248659190639,0.9884202827888835,0.989385065885798
2022-10-01,9046,0.011165155869997789,0.999557815609109,0.9885032058368339,0.988940499889405
2022-11-01,8446,0.009708737864077669,0.999171205304286,0.989699265924698,0.990520203815618
2022-12-01,8101,0.011850388840883842,0.9985187013948895,0.9866683125540057,0.9881320311534182
2023-01-01,9162,0.011787819253438114,0.9987993887797424,0.9872298624754421,0.9884165664954649
2023-02-01,7820,0.011381074168797954,0.99846547314578,0.9873401534526854,0.9888575819672131
2023-03-01,8368,0.010635755258126194,0.998565965583174,0.9881692160611855,0.989588319770225
2023-04-01,7628,0.012060828526481384,0.9988201363398007,0.9868904037755637,0.9880561753510959
2023-05-01,8222,0.01313549014838239,0.9990270007297495,0.9860131354901484,0.9869734599464329
2023-06-01,7956,0.012066365007541479,0.9984917043740573,0.9865510306686778,0.9880412890231621
2023-07-01,8903,0.01392788947545771,0.9984274963495451,0.984836571942042,0.9863876701541231
2023-08-01,9077,0.011016855789357717,0.9983474716315963,0.9874407844001322,0.9890752593246523
2023-09-01,8579,0.011656370206317752,0.9987177992773051,0.9871779927730505,0.9884453781512605
2023-10-01,8747,0.010975191494226592,0.9987424259746198,0.9879958843031896,0.9892399267399268
2023-11-01,7716,0.011275272161741835,0.9989631933644375,0.987817522032141,0.9888427607680332
2023-12-01,7524,0.013955342902711323,0.9988038277511961,0.9851143009037746,0.9862940785096473
2024-01-01,8390,0.012157330154946364,0.9979737783075089,0.9864123957091776,0.9884151439149648
2024-02-01,8404,0.01344597810566397,0.9982151356496907,0.9848881485007139,0.9866491834545238
2024-03-01,8655,0.012016175621028307,0.9982668977469671,0.986366262276141,0.9880787037037037
2024-04-01,8433,0.00913079568362386,0.9983398553302502,0.9893276414087513,0.9909727996199074
2024-05-01,8335,0.01199760047990402,0.9978404319136173,0.9865626874625075,0.988697847781652
2024-06-01,8943,0.011852845801185284,0.998769987699877,0.9870289611987029,0.9882445141065831
2024-07-01,9998,0.013202640528105622,0.9981996399279855,0.9853970794158832,0.9871743486973948
2024-08-01,10944,0.010599415204678362,0.9989035087719298,0.9883040935672515,0.9893889498719356
2024-09-01,10659,0.008537386246364574,0.9984989210995403,0.9900553522844544,0.9915437376679508
2024-10-01,11198,0.00910876942311127,0.9988390784068584,0.989819610644758,0.9909700491729996
2024-11-01,10829,0.008680395235017084,0.9980607627666451,0.9897497460522671,0.9916728349370837
2024-12-01,10594,0.009533698319803663,0.9975457806305456,0.9884840475740986,0.9909159727479182
