date,records,dispatch_share,arrival_share,j01_given_arrival,period
2021-08-22,579,0.8082901554404145,0.772020725388601,0.05145413870246085,pre_Ida_baseline
2021-08-23,724,0.7914364640883977,0.8011049723756906,0.09827586206896552,pre_Ida_baseline
2021-08-24,711,0.7960618846694796,0.8382559774964838,0.08892617449664429,pre_Ida_baseline
2021-08-25,647,0.7387944358578052,0.7527047913446677,0.0944558521560575,pre_Ida_baseline
2021-08-26,671,0.7317436661698957,0.7377049180327869,0.11717171717171718,pre_Ida_baseline
2021-08-27,711,0.7932489451476793,0.7623066104078763,0.07749077490774908,pre_Ida_baseline
2021-08-28,630,0.8095238095238095,0.7841269841269841,0.058704453441295545,pre_Ida_baseline
2021-08-29,950,0.7294736842105263,0.4378947368421053,0.13221153846153846,Ida_event_window
2021-08-30,701,0.6462196861626248,0.6533523537803139,0.2292576419213974,Ida_event_window
2021-08-31,759,0.47299077733860345,0.6679841897233202,0.4339250493096647,Ida_event_window
2021-09-01,775,0.40903225806451615,0.6916129032258065,0.4925373134328358,Ida_event_window
2021-09-02,693,0.7445887445887446,0.7474747474747475,0.1640926640926641,Ida_event_window
2021-09-03,786,0.7582697201017812,0.7544529262086515,0.16020236087689713,post_Ida_recovery
2021-09-04,890,0.7561797752808989,0.7348314606741573,0.12232415902140673,post_Ida_recovery
2021-09-05,787,0.7890724269377383,0.7636594663278272,0.08985024958402663,post_Ida_recovery
2021-09-06,880,0.7977272727272727,0.7454545454545455,0.08841463414634146,post_Ida_recovery
2021-09-07,718,0.8022284122562674,0.7910863509749304,0.07394366197183098,post_Ida_recovery
2021-09-08,724,0.7679558011049724,0.7762430939226519,0.13167259786476868,post_Ida_recovery
2021-09-09,718,0.7325905292479109,0.8231197771587744,0.20135363790186125,post_Ida_recovery
2021-09-10,720,0.5819444444444445,0.8083333333333333,0.3470790378006873,post_Ida_recovery
2021-09-11,664,0.7936746987951807,0.8087349397590361,0.10242085661080075,post_Ida_recovery
2021-09-12,586,0.841296928327645,0.856655290102389,0.07370517928286853,post_Ida_recovery
