month,n,dispatch_share,arrival_share,j01_share,j01_given_arrival
2020-01-01,26446,0.8725705210617862,0.7626106027376541,0.0,0.0
2020-02-01,26603,0.8622711724241627,0.7339021914821636,0.0,0.0
2020-03-01,23691,0.9034232408931662,0.813979992402178,0.0,0.0
2020-04-01,21132,0.9311470755252698,0.8482869581677077,0.0,0.0
2020-05-01,20789,0.9306363942469575,0.8444369618548271,0.0,0.0
2020-06-01,21278,0.915358586333302,0.8198138922831093,0.0,0.0
2020-07-01,22192,0.9155100937274694,0.8130407354001442,0.0,0.0
2020-08-01,22102,0.9175640213555334,0.8235906252827798,0.0,0.0
2020-09-01,21137,0.913138099067985,0.8153474949141316,0.0,0.0
2020-10-01,23368,0.9049982882574461,0.7913385826771654,0.0,0.0
2020-11-01,22192,0.8971250901225667,0.7798756308579669,0.0,0.0
2020-12-01,20938,0.893972681249403,0.7888050434616487,0.0,0.0
2021-01-01,20257,0.9093152984153626,0.8048082144443895,0.0,0.0
2021-02-01,18532,0.8958018562486509,0.8018022879343838,0.0,0.0
2021-03-01,21606,0.8976673146348236,0.7973248171804128,0.0,0.0
2021-04-01,22307,0.8959071143587215,0.7971488770341149,0.0,0.0
2021-05-01,24409,0.8910647711909542,0.7723790405178418,0.0,0.0
2021-06-01,21777,0.8892409422785508,0.781558525049364,0.0,0.0
2021-07-01,21800,0.8805963302752293,0.7851376146788991,0.009770642201834863,0.012444496377658331
2021-08-01,21568,0.7664132047477745,0.7650222551928784,0.08563612759643917,0.11193939393939394
2021-09-01,21040,0.7694866920152091,0.7901140684410647,0.09624524714828897,0.12181183830606353
2021-10-01,22183,0.7880358833340847,0.7692377045485281,0.06599648379389622,0.08579465541490858
2021-11-01,21024,0.7885749619482496,0.7752092846270928,0.06977739726027397,0.0900110442999141
2021-12-01,21657,0.7733758138246295,0.7613704575887704,0.07258623077988641,0.09533628479592456
2022-01-01,20934,0.7820292347377472,0.7692748638578389,0.0706506162224133,0.09184053651266766
2022-02-01,20955,0.7559532331185874,0.7276067764256741,0.07306132188021952,0.10041319603856497
2022-03-01,21731,0.7735032902305462,0.7304771984722286,0.07128065896645346,0.09758094998110117
2022-04-01,20848,0.7720644666155027,0.7405026861089793,0.07890445126630852,0.1065552532711491
2022-05-01,22240,0.7504046762589928,0.7087230215827338,0.08619604316546763,0.12162162162162163
2022-06-01,20254,0.7307692307692307,0.7003061123728647,0.08502024291497975,0.12140439932318105
2022-07-01,20314,0.731367529782416,0.6975977158609826,0.08644284729743035,0.12391503775315786
2022-08-01,19723,0.7040004056178066,0.7169801754297014,0.11311666582162958,0.15776819178275936
2022-09-01,19396,0.7128273870901217,0.7119509177149927,0.10435141266240462,0.14657107683394888
2022-10-01,19116,0.7387005649717514,0.7418392969240427,0.0869428750784683,0.1171990691770679
2022-11-01,18061,0.7375006920989978,0.7367255412214163,0.09490061458391008,0.1288140688411243
2022-12-01,19607,0.7422859182944866,0.7075534247972662,0.0751262304279084,0.10617746702227349
2023-01-01,19335,0.7516938194983191,0.7230928368244117,0.07659684509956038,0.10592947571704456
2023-02-01,19562,0.7400572538595236,0.6996728350884368,0.07243635620079747,0.10352889603273178
2023-03-01,19858,0.737184006445765,0.7162352704199819,0.08424816194984389,0.11762637980735428
2023-04-01,20164,0.7221781392580837,0.7184586391588971,0.10365006943066851,0.1442672741078208
2023-05-01,21246,0.6770686246822931,0.7024381059964229,0.12854184317047915,0.18299383543285982
2023-06-01,19023,0.6685065447090365,0.7190769069021711,0.14366819113704463,0.19979530667446452
2023-07-01,18535,0.6708929053142703,0.7276503911518748,0.14108443485298083,0.19389041299028695
2023-08-01,17636,0.6754366069403492,0.7417214787933771,0.14294624631435698,0.1927222689396835
2023-09-01,17529,0.6590792401163785,0.7298762051457585,0.1574533629984597,0.21572612161950913
2023-10-01,17929,0.6660717273690668,0.7301578448323944,0.15276925651179654,0.20922771369643267
2023-11-01,16828,0.659496077965296,0.7359757546945567,0.1588424055146185,0.2158255954784013
2023-12-01,17744,0.6667605951307484,0.7329238052299368,0.1490644724977457,0.20338331410995772
2024-01-01,17435,0.674734728993404,0.7414969888156008,0.1444794952681388,0.19484839108910892
2024-02-01,18316,0.6588774841668487,0.7136929460580913,0.1445730508844726,0.20257037943696451
2024-03-01,18207,0.6663920470148844,0.7375185368264953,0.1531279178338002,0.2076258564194221
2024-04-01,17569,0.6468780237919062,0.7123911434913769,0.15515965621264727,0.21780121444550976
2024-05-01,18797,0.6160557535776986,0.7285737085705166,0.19130712347715062,0.2625775830595108
2024-06-01,16972,0.6441197266085317,0.7489983502238982,0.18200565637520622,0.24299874134675897
2024-07-01,17515,0.6569797316585784,0.7642021124750215,0.1797316585783614,0.23518864400448264
2024-08-01,17703,0.6531661300344574,0.7625261255154494,0.18087329831102072,0.2372027557596859
2024-09-01,17511,0.6620981097595797,0.7604362971846268,0.16635257837930445,0.21875938720336438
2024-10-01,17848,0.6665172568354998,0.7714589870013447,0.17402510085163603,0.2255791996513908
2024-11-01,17438,0.6391214588828994,0.742057575410024,0.16934281454295216,0.22820710973724884
2024-12-01,17003,0.6618831970828677,0.7282832441333882,0.1424454508027995,0.19559072922555115
