year,denominator,rows,dispatch_present,dispatch_share,arrival_present,arrival_share
2025,non_officer,207050,136712,0.6602849553248008,153572,0.7417145617000724
2025,officer,122720,1117,0.009102020860495436,122511,0.9982969361147327
2025,all_public_rows,329770,137829,0.41795493829032354,276083,0.8371986536070595
2026,non_officer,130346,87129,0.6684439875408528,97225,0.7458993755082626
2026,officer,79483,738,0.00928500434055081,79335,0.9981379666092121
2026,all_public_rows,209829,87867,0.41875527215017944,176560,0.8414470831010012
