period,start,end,n,dispatch_share,arrival_share,j01_share,j01_given_arrival
pre_change,2020-01-01,2021-07-27,419840,0.9007240853658537,0.7971870236280488,0.0,0.0
transition_week,2021-07-25,2021-07-31,4901,0.8359518465619261,0.7849418486023261,0.04346051826157927,0.05536781907980244
august_pre_ida,2021-08-01,2021-08-28,19158,0.7842676688589623,0.7891742353063994,0.07657375508925775,0.09703022686685628
ida_week,2021-08-29,2021-09-04,5554,0.6494418437162406,0.662945624774937,0.16276557436082104,0.24551873981531777
post_ida,2021-09-05,2021-09-12,5797,0.7624633431085044,0.7933413834742108,0.11057443505261343,0.13937812567949553
year_2024,2024-01-01,2024-12-31,212314,0.6537534029786072,0.7424993170492761,0.16536827529037182,0.22271842073545922
