date,n,dispatch_share,arrival_share,j01_share,j01_given_arrival
2021-07-01,690,0.8942028985507247,0.7855072463768116,0.0,0.0
2021-07-02,749,0.9038718291054739,0.8130841121495327,0.0,0.0
2021-07-03,799,0.904881101376721,0.769712140175219,0.0,0.0
2021-07-04,927,0.8694714131607335,0.7098166127292341,0.0,0.0
2021-07-05,775,0.9058064516129032,0.7858064516129032,0.0,0.0
2021-07-06,671,0.8912071535022354,0.7779433681073026,0.0,0.0
2021-07-07,702,0.8732193732193733,0.7564102564102564,0.0,0.0
2021-07-08,666,0.9039039039039038,0.7927927927927928,0.0,0.0
2021-07-09,640,0.884375,0.8078125,0.0,0.0
2021-07-10,688,0.9069767441860465,0.7921511627906976,0.0,0.0
2021-07-11,660,0.896969696969697,0.8196969696969697,0.0,0.0
2021-07-12,636,0.8883647798742138,0.809748427672956,0.0,0.0
2021-07-13,700,0.8928571428571429,0.7914285714285715,0.0,0.0
2021-07-14,597,0.8994974874371859,0.8224455611390284,0.0,0.0
2021-07-15,599,0.8964941569282137,0.8096828046744574,0.0,0.0
2021-07-16,722,0.871191135734072,0.7326869806094183,0.0,0.0
2021-07-17,710,0.895774647887324,0.7619718309859155,0.0,0.0
2021-07-18,647,0.874806800618238,0.7743431221020093,0.0,0.0
2021-07-19,739,0.8849797023004059,0.8051420838971584,0.0,0.0
2021-07-20,658,0.9164133738601824,0.8145896656534954,0.0,0.0
2021-07-21,675,0.9037037037037037,0.8222222222222222,0.0,0.0
2021-07-22,792,0.8699494949494949,0.7537878787878788,0.0,0.0
2021-07-23,701,0.9101283880171184,0.7803138373751783,0.0,0.0
2021-07-24,756,0.9140211640211641,0.8015873015873016,0.0,0.0
2021-07-25,721,0.8751733703190014,0.7378640776699029,0.0,0.0
2021-07-26,733,0.9045020463847203,0.7708049113233287,0.0,0.0
2021-07-27,731,0.9001367989056087,0.8002735978112175,0.0,0.0
2021-07-28,620,0.8209677419354838,0.8096774193548387,0.054838709677419356,0.06772908366533864
2021-07-29,666,0.7657657657657657,0.7987987987987988,0.1036036036036036,0.12969924812030076
2021-07-30,705,0.7687943262411348,0.7929078014184398,0.09219858156028368,0.11627906976744186
2021-07-31,725,0.8055172413793104,0.7889655172413793,0.06206896551724138,0.07867132867132867
2021-08-01,727,0.7840440165061898,0.7537826685006878,0.06464924346629987,0.08576642335766424
2021-08-02,666,0.7987987987987988,0.7702702702702703,0.06756756756756757,0.08771929824561403
2021-08-03,624,0.782051282051282,0.8044871794871795,0.09455128205128205,0.11752988047808766
2021-08-04,700,0.7828571428571428,0.8085714285714286,0.09142857142857143,0.11307420494699646
2021-08-05,679,0.7717231222385862,0.7776141384388807,0.05891016200294551,0.07575757575757576
2021-08-06,729,0.7928669410150891,0.7997256515775034,0.07544581618655692,0.09433962264150944
2021-08-07,674,0.7774480712166172,0.7818991097922848,0.08902077151335312,0.11385199240986717
2021-08-08,600,0.8,0.7716666666666666,0.06,0.07775377969762419
2021-08-09,657,0.8295281582952816,0.8158295281582952,0.0715372907153729,0.08768656716417911
2021-08-10,716,0.7430167597765364,0.7723463687150838,0.09497206703910614,0.12296564195298372
2021-08-11,657,0.7777777777777778,0.8158295281582952,0.0898021308980213,0.11007462686567164
2021-08-12,742,0.7722371967654986,0.7789757412398922,0.07008086253369272,0.08996539792387544
2021-08-13,760,0.7723684210526316,0.7776315789473685,0.08289473684210526,0.1065989847715736
2021-08-14,730,0.8054794520547945,0.7904109589041096,0.0684931506849315,0.08665511265164645
2021-08-15,657,0.802130898021309,0.8234398782343988,0.0669710806697108,0.08133086876155268
2021-08-16,760,0.7947368421052632,0.7855263157894737,0.06842105263157895,0.08710217755443886
2021-08-17,713,0.7980364656381487,0.7994389901823282,0.07994389901823282,0.1
2021-08-18,673,0.7800891530460624,0.8231797919762258,0.12035661218424963,0.14620938628158844
2021-08-19,671,0.7928464977645305,0.8077496274217586,0.08196721311475409,0.1014760147601476
