window_start,bin,Delta_J00,Delta_J10,Delta_J01,Delta_J11,Delta_arrival,Delta_dispatch,simplex_error,arrival_identity_error,dispatch_identity_error
2021-08-29,B1,0.057422483276916,0.05394627794144292,0.004516272565471647,-0.1158850337838306,-0.11136876121835895,-0.06193875584238768,-3.122502256758253e-17,0.0,0.0
2021-08-29,B2,0.2777380648066689,0.05805029642559482,0.08649926714005592,-0.42228762837231976,-0.33578836123226385,-0.3642373319467249,-1.1796119636642288e-16,0.0,0.0
2021-08-29,B3,0.20202889584952752,0.08376971478246471,0.06771209220499283,-0.3535107028369851,-0.2857986106319923,-0.2697409880545204,-4.163336342344337e-17,0.0,0.0
2021-08-29,B4,0.09391530895638969,0.05373224663007888,0.06830634846294156,-0.21595390404941014,-0.14764755558646858,-0.16222165741933126,-6.938893903907228e-18,0.0,0.0
2021-08-29,B5,0.09277206797428171,0.13088920996541262,0.04215185977638085,-0.26581313771607507,-0.2236612779396942,-0.13492392775066245,1.1102230246251565e-16,0.0,0.0
2021-08-29,B6,0.15635013613176033,0.04415498886535223,0.30667649203789515,-0.5071816170350076,-0.20050512499711248,-0.4630266281696554,6.938893903907228e-17,0.0,0.0
2021-08-29,B7,0.14356448241321162,-0.011393412788761628,0.32307063653380874,-0.45524170615825876,-0.13217106962445002,-0.46663511894702037,-2.42861286636753e-17,0.0,0.0
2021-08-29,B8,0.04032792198589923,0.0009570323538513593,0.18649391466405307,-0.22777886900380373,-0.04128495433975066,-0.22682183664995237,-6.461844948013606e-17,0.0,0.0
2021-08-29,B9,0.008109040717736375,-0.07701863354037265,0.02268230963883138,0.046227283183804944,0.06890959282263633,-0.030791350356567708,4.85722573273506e-17,0.0,0.0
2021-08-29,B10,-0.022268785828107866,0.05078926373908423,0.012846288465183018,-0.041366766376159395,-0.028520477910976377,0.009422497362924838,-1.0408340855860843e-17,0.0,0.0
2020-01-12,B1,-0.00700236616385685,0.013269210846393894,0.0,-0.006266844682537064,-0.006266844682537064,0.00700236616385683,-1.9949319973733282e-17,0.0,0.0
2020-01-12,B2,-0.04005637608578784,0.024435933565345333,0.0,0.01562044252044253,0.01562044252044253,0.04005637608578786,2.2551405187698492e-17,0.0,0.0
2020-01-12,B3,-0.019029199044832183,-0.05885094919748384,0.0,0.07788014824231602,0.07788014824231602,0.019029199044832183,0.0,0.0,0.0
2020-01-12,B4,-0.009071941083034997,-0.00032536619312790224,0.0,0.009397307276162909,0.009397307276162909,0.009071941083035006,9.540979117872439e-18,0.0,0.0
2020-01-12,B5,-0.010519105787647988,0.01228138564638382,0.0,-0.0017622798587358258,-0.0017622798587358258,0.010519105787647995,6.938893903907228e-18,0.0,0.0
2020-01-12,B6,0.023571460669829427,-0.012376969847310931,0.0,-0.01119449082251849,-0.01119449082251849,-0.023571460669829424,5.204170427930421e-18,0.0,0.0
2020-01-12,B7,0.004355033152501504,0.10431842536272913,0.0,-0.10867345851523064,-0.10867345851523064,-0.004355033152501506,-1.734723475976807e-18,0.0,0.0
2020-01-12,B8,0.016108122075364665,0.017149264135681797,0.0,-0.03325738621104648,-0.03325738621104648,-0.016108122075364682,-1.734723475976807e-17,0.0,0.0
2020-01-12,B9,0.0016708052960779764,-0.017125250257490364,0.0,0.015454444961412385,0.015454444961412385,-0.001670805296077979,-2.6020852139652106e-18,0.0,0.0
2020-01-12,B10,0.02113770525195429,0.02568348184857645,0.0,-0.04682118710053073,-0.04682118710053073,-0.02113770525195428,1.0408340855860843e-17,0.0,0.0
2020-01-26,B1,-0.002637591575091576,0.012616989040769534,0.0,-0.00997939746567797,-0.00997939746567797,0.0026375915750915645,-1.1275702593849246e-17,0.0,0.0
2020-01-26,B2,-0.015666026614117885,-0.0024235789003045267,0.0,0.018089605514422406,0.018089605514422406,0.015666026614117878,-5.637851296924623e-18,0.0,0.0
2020-01-26,B3,0.03521855512734143,0.014993233580351973,0.0,-0.050211788707693404,-0.050211788707693404,-0.03521855512734143,-3.469446951953614e-18,0.0,0.0
2020-01-26,B4,-0.0024093660200760897,0.01301422785213309,0.0,-0.010604861832057,-0.010604861832057,0.0024093660200760897,0.0,0.0,0.0
2020-01-26,B5,0.03808803024932057,-0.023506955410181215,0.0,-0.014581074839139362,-0.014581074839139362,-0.03808803024932057,-3.469446951953614e-18,0.0,0.0
2020-01-26,B6,-0.010665615617279503,0.038973063953015405,0.0,-0.02830744833573591,-0.02830744833573591,0.010665615617279495,-8.673617379884035e-18,0.0,0.0
2020-01-26,B7,0.0015325307296110181,-0.00473409801876955,0.0,0.0032015672891585406,0.0032015672891585406,-0.0015325307296110095,8.673617379884035e-18,0.0,0.0
2020-01-26,B8,0.01773944746782726,-0.0120466006755558,0.0,-0.005692846792271443,-0.005692846792271443,-0.017739447467827244,1.8214596497756474e-17,0.0,0.0
2020-01-26,B9,0.008504024320350856,-2.7574168283086512e-05,0.0,-0.008476450152067772,-0.008476450152067772,-0.008504024320350858,-2.168404344971009e-18,0.0,0.0
2020-01-26,B10,-0.03197606223736929,0.04443438444304981,0.0,-0.012458322205680534,-0.012458322205680534,0.03197606223736928,-1.214306433183765e-17,0.0,0.0
2020-02-02,B1,0.02391985842212086,-0.012454997240065114,0.0,-0.011464861182055733,-0.011464861182055733,-0.023919858422120847,1.3877787807814457e-17,0.0,0.0
2020-02-02,B2,-0.013201610633757174,-0.0011319116040478243,0.0,0.014333522237804996,0.014333522237804996,0.01320161063375717,-2.8189256484623115e-18,0.0,0.0
2020-02-02,B3,-0.011839197755487347,0.013909475391375842,0.0,-0.0020702776358884805,-0.0020702776358884805,0.011839197755487363,1.474514954580286e-17,0.0,0.0
2020-02-02,B4,0.00771019800365173,-0.03553910907184045,0.0,0.027828911068188737,0.027828911068188737,-0.007710198003651712,1.734723475976807e-17,0.0,0.0
2020-02-02,B5,0.007080959502445047,0.02684104328618155,0.0,-0.033922002788626594,-0.033922002788626594,-0.007080959502445045,1.734723475976807e-18,0.0,0.0
2020-02-02,B6,0.011913153040827679,-0.010156413531955942,0.0,-0.0017567395088717254,-0.0017567395088717254,-0.011913153040827667,1.1275702593849246e-17,0.0,0.0
2020-02-02,B7,0.015024857703885836,0.003219185572126748,0.0,-0.01824404327601259,-0.01824404327601259,-0.015024857703885841,-5.204170427930421e-18,0.0,0.0
2020-02-02,B8,0.0013930771723377631,-0.02766238733653616,0.0,0.026269310164198388,0.026269310164198388,-0.001393077172337772,-8.890457814381136e-18,0.0,0.0
2020-02-02,B9,-0.0005927076163643164,0.03234171863714347,0.0,-0.03174901102077915,-0.03174901102077915,0.0005927076163643186,2.168404344971009e-18,0.0,0.0
2020-02-02,B10,-0.035001131810334624,-0.07219725894901352,0.0,0.10719839075934812,0.10719839075934812,0.035001131810334596,-2.7755575615628914e-17,0.0,0.0
2020-02-09,B1,-0.033811791656619246,0.0683183534354473,0.0,-0.034506561778828077,-0.034506561778828077,0.033811791656619225,-2.0816681711721685e-17,0.0,0.0
2020-02-09,B2,0.027363393509166098,0.04739450577892861,0.0,-0.07475789928809469,-0.07475789928809469,-0.027363393509166077,2.0816681711721685e-17,0.0,0.0
2020-02-09,B3,-0.018047752808988758,-0.033395689736568784,0.0,0.051443442545557556,0.051443442545557556,0.018047752808988772,1.3877787807814457e-17,0.0,0.0
2020-02-09,B4,-0.03489495138431309,0.030515583707073066,0.0,0.004379367677240031,0.004379367677240031,0.034894951384313096,7.806255641895632e-18,0.0,0.0
2020-02-09,B5,-0.026774059659654837,-0.024183407555339004,0.0,0.05095746721499385,0.05095746721499385,0.026774059659654844,6.938893903907228e-18,0.0,0.0
2020-02-09,B6,-0.028680339041814284,-0.013635572690149323,0.0,0.04231591173196361,0.04231591173196361,0.028680339041814287,5.204170427930421e-18,0.0,0.0
2020-02-09,B7,-0.005804341361879272,-0.029356711308927662,0.0,0.035161052670806936,0.035161052670806936,0.005804341361879274,1.734723475976807e-18,0.0,0.0
2020-02-09,B8,-0.00606774372312132,0.027085866585350594,0.0,-0.021018122862229257,-0.021018122862229257,0.0060677437231213376,1.734723475976807e-17,0.0,0.0
2020-02-09,B9,0.008822477940125,-0.01994160461764894,0.0,0.011119126677523936,0.011119126677523936,-0.008822477940125004,-3.469446951953614e-18,0.0,0.0
2020-02-09,B10,0.02625351405344112,0.035698389775210004,0.0,-0.061951903828651116,-0.061951903828651116,-0.02625351405344111,1.0408340855860843e-17,0.0,0.0
2020-02-16,B1,0.04022976537553796,-0.06251394949302683,0.0,0.022284184117488882,0.022284184117488882,-0.04022976537553795,1.734723475976807e-17,0.0,0.0
2020-02-16,B2,0.01781403180997502,-0.025593912510748214,0.0,0.0077798807007731915,0.0077798807007731915,-0.017814031809975022,-4.336808689942018e-18,0.0,0.0
2020-02-16,B3,-0.00283460413369779,0.041332108643286895,0.0,-0.03849750450958911,-0.03849750450958911,0.0028346041336977865,-3.469446951953614e-18,0.0,0.0
2020-02-16,B4,0.014988289807690642,-0.0006231162659114551,0.0,-0.014365173541779195,-0.014365173541779195,-0.014988289807690649,-7.806255641895632e-18,0.0,0.0
2020-02-16,B5,-0.003206896974602357,0.010085476374428215,0.0,-0.006878579399825875,-0.006878579399825875,0.0032068969746023405,-1.6479873021779667e-17,0.0,0.0
2020-02-16,B6,0.03023040285438917,0.0686032763796817,0.0,-0.09883367923407085,-0.09883367923407085,-0.03023040285438916,1.0408340855860843e-17,0.0,0.0
2020-02-16,B7,0.006018333163808917,0.09257969992014317,0.0,-0.0985980330839521,-0.0985980330839521,-0.0060183331638089255,-8.673617379884035e-18,0.0,0.0
2020-02-16,B8,-0.017901640641476493,0.026715393272674998,0.0,-0.008813752631198492,-0.008813752631198492,0.017901640641476507,1.214306433183765e-17,0.0,0.0
