window_start,alignment_advantage_lower,alignment_advantage_upper,universes
2021-05-30,-0.033242210220773775,-0.030981343229617594,FULL_QUALIFIED_REFERENCE
2021-06-06,0.009506721719914082,0.009506741719913926,FULL_QUALIFIED_REFERENCE
2021-06-13,-1.000000001902257e-08,9.999999817794647e-09,FULL_QUALIFIED_REFERENCE
2021-06-20,-0.047747477915671376,-0.00195721829038923,FULL_QUALIFIED_REFERENCE
2021-06-27,-1.000000000861423e-08,1.000000000861423e-08,FULL_QUALIFIED_REFERENCE
2021-07-11,-0.0005886454993094398,-0.0005886254993102275,FULL_QUALIFIED_REFERENCE|STAGE_ERA_MATCHED_REFERENCE|SAME_SEASON_STAGE_REFERENCE
2021-07-18,-0.025817433901300244,-0.02581741390130029,FULL_QUALIFIED_REFERENCE|STAGE_ERA_MATCHED_REFERENCE|SAME_SEASON_STAGE_REFERENCE
2021-07-25,0.0007940010352288918,0.0007940210352284371,FULL_QUALIFIED_REFERENCE|STAGE_ERA_MATCHED_REFERENCE|SAME_SEASON_STAGE_REFERENCE
2021-08-01,-0.0253903990888698,0.010636469996114908,FULL_QUALIFIED_REFERENCE|STAGE_ERA_MATCHED_REFERENCE|SAME_SEASON_STAGE_REFERENCE
2021-08-08,-0.017840534894595417,0.033238078949236124,FULL_QUALIFIED_REFERENCE|STAGE_ERA_MATCHED_REFERENCE|SAME_SEASON_STAGE_REFERENCE
2021-08-15,0.01242218918627274,0.013176606610683018,FULL_QUALIFIED_REFERENCE|STAGE_ERA_MATCHED_REFERENCE|SAME_SEASON_STAGE_REFERENCE
2021-08-22,-0.007275153294591753,0.0009254232101447851,FULL_QUALIFIED_REFERENCE|STAGE_ERA_MATCHED_REFERENCE|SAME_SEASON_STAGE_REFERENCE
2021-09-12,0.02506501845238749,0.026136353643706277,FULL_QUALIFIED_REFERENCE|STAGE_ERA_MATCHED_REFERENCE|SAME_SEASON_STAGE_REFERENCE
2021-09-19,-0.018700776371603774,0.0010673652193119512,FULL_QUALIFIED_REFERENCE|STAGE_ERA_MATCHED_REFERENCE|SAME_SEASON_STAGE_REFERENCE
2021-09-26,-0.016205889785233026,-0.01620586978523321,FULL_QUALIFIED_REFERENCE|STAGE_ERA_MATCHED_REFERENCE|SAME_SEASON_STAGE_REFERENCE
2021-10-03,0.009255267366684895,0.034916593735334726,FULL_QUALIFIED_REFERENCE|STAGE_ERA_MATCHED_REFERENCE|SAME_SEASON_STAGE_REFERENCE
2021-10-10,-9.999999925347502e-09,9.999999772691837e-09,FULL_QUALIFIED_REFERENCE|STAGE_ERA_MATCHED_REFERENCE|SAME_SEASON_STAGE_REFERENCE
2021-10-17,-0.00692081335212321,0.008082369435812364,FULL_QUALIFIED_REFERENCE|STAGE_ERA_MATCHED_REFERENCE|SAME_SEASON_STAGE_REFERENCE
2021-10-24,-0.009533385609872526,0.005039059535522007,FULL_QUALIFIED_REFERENCE|STAGE_ERA_MATCHED_REFERENCE|SAME_SEASON_STAGE_REFERENCE
2021-10-31,-0.013112382638917577,-0.001076383285489979,FULL_QUALIFIED_REFERENCE|STAGE_ERA_MATCHED_REFERENCE|SAME_SEASON_STAGE_REFERENCE
2021-11-07,-0.011177362928419067,0.004410792752211984,FULL_QUALIFIED_REFERENCE|STAGE_ERA_MATCHED_REFERENCE|SAME_SEASON_STAGE_REFERENCE
2021-11-14,0.03973533834173655,0.039735358341736145,FULL_QUALIFIED_REFERENCE|STAGE_ERA_MATCHED_REFERENCE|SAME_SEASON_STAGE_REFERENCE
2021-11-28,-0.03015674800707121,-0.00909048632360955,FULL_QUALIFIED_REFERENCE|STAGE_ERA_MATCHED_REFERENCE|SAME_SEASON_STAGE_REFERENCE
2021-12-05,-9.999999980858654e-09,1.0000000043308699e-08,FULL_QUALIFIED_REFERENCE|STAGE_ERA_MATCHED_REFERENCE
2021-12-12,0.0027479766640101794,0.029778040879331082,FULL_QUALIFIED_REFERENCE|STAGE_ERA_MATCHED_REFERENCE
2021-12-19,-0.02774667535273525,-0.0013978952703773695,FULL_QUALIFIED_REFERENCE|STAGE_ERA_MATCHED_REFERENCE
