window_start,lower,upper,width,feasible_start_count,refinement_trigger_Ida,refinement_trigger_0_25,refinement_status,root_certificate
2020-06-21,0.04476046089905428,0.04733746564595105,0.0025770047468967744,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.04476047089905428, ""Q_dimension"": 7, ""raw"": 0.04476047089905428, ""spectral"": 0.017714003208295956, ""support_only"": 0.0}"
2020-06-28,0.060205936008229766,0.06020594600822965,9.999999883714139e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.06020594600822977, ""Q_dimension"": 7, ""raw"": 0.06020594600822977, ""spectral"": 0.022036508533777605, ""support_only"": 0.0}"
2020-07-05,0.025782856006505418,0.07923109559269792,0.053448239586192506,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.02578286600650542, ""Q_dimension"": 7, ""raw"": 0.02578286600650542, ""spectral"": 0.007636533977356577, ""support_only"": 0.0}"
2020-07-12,0.023906589044838132,0.06158823598604107,0.03768164694120294,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.023906599044838134, ""Q_dimension"": 7, ""raw"": 0.023906599044838134, ""spectral"": 0.008794029635172358, ""support_only"": 0.0}"
2020-07-19,0.06157055890993774,0.061570568909937715,9.99999997391976e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.06157056890993774, ""Q_dimension"": 7, ""raw"": 0.06157056890993774, ""spectral"": 0.019462605497892596, ""support_only"": 0.0}"
2020-07-26,0.03730328223864469,0.04193675282855955,0.004633470589914861,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.03730329223864469, ""Q_dimension"": 7, ""raw"": 0.03730329223864469, ""spectral"": 0.01028807213269997, ""support_only"": 0.0}"
2020-08-02,0.05005981483511872,0.05005982483511862,9.99999990453082e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.05005982483511872, ""Q_dimension"": 7, ""raw"": 0.05005982483511872, ""spectral"": 0.01631926045451071, ""support_only"": 0.0}"
2020-08-09,0.0951084674425652,0.09510847744256512,9.999999925347502e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.09510847744256519, ""Q_dimension"": 7, ""raw"": 0.09510847744256519, ""spectral"": 0.029384075275738917, ""support_only"": 0.0}"
2020-08-16,0.027431028526321944,0.029193344726079998,0.0017623161997580537,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.027431038526321946, ""Q_dimension"": 7, ""raw"": 0.027431038526321946, ""spectral"": 0.00817753094269066, ""support_only"": 0.0}"
2020-08-30,0.05233549996401952,0.05243428099238641,9.878102836689134e-05,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.05233550996401952, ""Q_dimension"": 7, ""raw"": 0.05233550996401952, ""spectral"": 0.018599355234058996, ""support_only"": 0.0}"
2020-09-13,0.062459369579835916,0.062459379579836063,1.0000000147392107e-08,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.06245937957983592, ""Q_dimension"": 7, ""raw"": 0.06245937957983592, ""spectral"": 0.02000651021459178, ""support_only"": 0.0}"
2020-09-20,0.06489489719051635,0.06489490719051633,9.999999980858654e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.06489490719051634, ""Q_dimension"": 7, ""raw"": 0.06489490719051634, ""spectral"": 0.022533743003612716, ""support_only"": 0.0}"
