window_start,A,sigma_1,sigma_2,sigma_3,U_direct,U_direct_state,U_full_lower,U_full_upper,Q_lower,Q_upper,D_lower,D_upper,M_max_cell,universes
2021-08-29,0.5071816170350076,1.0837038277988178,0.26225450013178025,0.08578943193642428,0.42228762837232003,911_OPCD_L18_S00319|LWIN_ZERO@lambda=18,0.25073448467090204,0.25073449467090003,0.4943682425571733,0.4943682622739723,0.17155313370142,0.171553143701418,0.5071816170350076,IDA
2020-01-12,0.10867345851523064,0.19243449980825736,0.039388031261271744,0.0,0.0914386744239892,911_OPCD_L60_S00222|LWIN_ZERO@lambda=60,0.06206394173832167,0.062063951738321514,0.5711048731335203,0.5711049651523074,0.029374722685667688,0.02937473268566753,0.10867345851523064,FULL_QUALIFIED_REFERENCE
2020-01-26,0.050211788707693404,0.08300158717330404,0.04719679021071747,0.0,0.03397066992661511,911_OPCD_L72_S00261|LWIN_ZERO@lambda=72,0.028240482559302914,0.028240492559302808,0.5624273360127466,0.5624275351691629,0.005730177367312305,0.005730187367312199,0.050211788707693404,FULL_QUALIFIED_REFERENCE
2020-02-02,0.10719839075934812,0.1562021540354762,0.029380695545096692,0.0,0.07056019677398702,911_OPCD_L72_S00261|LWIN_ZERO@lambda=72,0.06947369089006371,0.06947370089006363,0.648085203499245,0.6480852967842268,0.0010864958839233857,0.001086505883923311,0.10719839075934812,FULL_QUALIFIED_REFERENCE
2020-02-09,0.07475789928809469,0.17306551239846582,0.05018759385592714,0.0,0.07475789928809469,911_OPCD_L00_S00001|LWIN_ZERO@lambda=0,0.04855646824972918,0.04855647824972903,0.649516221190312,0.6495163549554385,0.02620142103836566,0.02620143103836551,0.07475789928809469,FULL_QUALIFIED_REFERENCE
2020-02-16,0.09883367923407085,0.2092623230549436,0.043822002792509515,0.0,0.06251394949302694,911_OPCD_L24_S00356|LWIN_ZERO@lambda=24,0.06472973339996528,0.06472974339996501,0.654935988436329,0.6549360896164106,-0.002215793906938074,-0.002215783906938343,0.09883367923407085,FULL_QUALIFIED_REFERENCE
2020-03-01,0.1678485000277347,0.36928706765635877,0.03842695141945929,0.0,0.14433299022236915,911_OPCD_L06_S00329|LWIN_ZERO@lambda=6,0.02137890906357895,0.05078929099041424,0.12737027176320537,0.302590079637423,0.09354369923195491,0.1229540811587902,0.1678485000277347,FULL_QUALIFIED_REFERENCE
2020-03-08,0.0608980814418881,0.15904967753778346,0.022614841493848008,0.0,0.03583206264120364,911_OPCD_L36_S00299|LWIN_ZERO@lambda=36,0.04062749243237936,0.04062750243237933,0.6671391194999811,0.6671392837087661,-0.004795439791175693,-0.004795429791175726,0.0608980814418881,FULL_QUALIFIED_REFERENCE
2020-03-15,0.06401023219205036,0.13266936007908034,0.04396480687562925,0.0,0.06401023219205036,911_OPCD_L00_S00001|LWIN_ZERO@lambda=0,0.04287606743820533,0.04287607743820529,0.6698314624068845,0.6698316186319069,0.021134154753845072,0.021134164753845032,0.06401023219205036,FULL_QUALIFIED_REFERENCE
2020-03-22,0.09190361767454279,0.18129781499338632,0.030449467087521605,0.0,0.059342005875057564,911_OPCD_L36_S00249|LWIN_ZERO@lambda=36,0.04024636304147452,0.04024637304147416,0.4379192469223409,0.4379193557319819,0.019095632833583405,0.019095642833583046,0.09190361767454279,FULL_QUALIFIED_REFERENCE
2020-03-29,0.0473284590122146,0.08012970913493622,0.024217414189473766,0.0,0.04403606451020246,911_OPCD_L06_S00335|LWIN_ZERO@lambda=6,0.021599980791116413,0.021599990791116457,0.45638462020370996,0.4563848314930748,0.022436073719086007,0.02243608371908605,0.0473284590122146,FULL_QUALIFIED_REFERENCE
2020-04-05,0.05551453177761253,0.11265748313947288,0.06318318416982924,0.0,0.04591317967832941,911_OPCD_L00_S00628|LWIN_ZERO@lambda=0,0.02925122490647694,0.029620362886119148,0.5269111342531966,0.5335605279852909,0.016292816792210264,0.01666195477185247,0.05551453177761253,FULL_QUALIFIED_REFERENCE
