bin,coordinate,Ida_value,absolute_value,c_0.95
B2,J11,-0.42228762837231976,0.42228762837231976,0.20939747635914793
B3,J11,-0.3535107028369851,0.3535107028369851,0.20939747635914793
B4,J11,-0.21595390404941014,0.21595390404941014,0.20939747635914793
B5,J11,-0.26581313771607507,0.26581313771607507,0.20939747635914793
B6,J01,0.30667649203789515,0.30667649203789515,0.20939747635914793
B6,J11,-0.5071816170350076,0.5071816170350076,0.20939747635914793
B7,J01,0.32307063653380874,0.32307063653380874,0.20939747635914793
B7,J11,-0.45524170615825876,0.45524170615825876,0.20939747635914793
B8,J11,-0.22777886900380373,0.22777886900380373,0.20939747635914793
