scenario_id,family_id,t37_family_id,lambda_hours,state_id,systems,omega_union,X_componentwise,exact_or_grid_status,source_support_state_hash,component_state_hashes,chronology_ids,source_support_table_sha256
S4_OPERATIONAL_REGIME_SUPPORT,R1_S4_CURFEW,R1_S4_CURFEW,72,CURFEW_L72_S00156,"[""CURFEW""]","[0.0,0.0,0.0,0.0,0.325686613341,1.0,1.0,1.0,1.0,1.0]","[[0.0],[0.0],[0.0],[0.0],[0.325686613341],[1.0],[1.0],[1.0],[1.0],[1.0]]",EXACT_FINITE_STATE_SPACE,1f6b527580cf94d5c39e7501f99591baff9f3caf9e0b9859e542de105c377f0e,"[""7106a19c4f37a0797e474ddbeb1d8f299b7d2408897a2758842c04fdc3243e56""]","[""CURFEW_START_00203""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S4_OPERATIONAL_REGIME_SUPPORT,R1_S4_CURFEW,R1_S4_CURFEW,72,CURFEW_L72_S00157,"[""CURFEW""]","[0.0,0.0,0.0,0.0,0.32344194443,1.0,1.0,1.0,1.0,1.0]","[[0.0],[0.0],[0.0],[0.0],[0.32344194443],[1.0],[1.0],[1.0],[1.0],[1.0]]",EXACT_FINITE_STATE_SPACE,d10c6294123b9c4c3114fcb518afc74f2863f183ded1951b5d397a5deaff1de7,"[""f749d5e6da5b9236d6c8c7ab7ad581843e7cf6acf1de6235487e507d63052221""]","[""CURFEW_START_00204""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S4_OPERATIONAL_REGIME_SUPPORT,R1_S4_CURFEW,R1_S4_CURFEW,72,CURFEW_L72_S00158,"[""CURFEW""]","[0.0,0.0,0.0,0.0,0.317269104923,1.0,1.0,1.0,1.0,1.0]","[[0.0],[0.0],[0.0],[0.0],[0.317269104923],[1.0],[1.0],[1.0],[1.0],[1.0]]",EXACT_FINITE_STATE_SPACE,ee446960b6d18024ce640fa9ed8ed6bd9922f42000fa5ca2a14991fb3eefd4d1,"[""6a16d2e49c4aa84166d7d3e68a91cee05562e9819678a32fc711059e81a86392""]","[""CURFEW_START_00205""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S4_OPERATIONAL_REGIME_SUPPORT,R1_S4_CURFEW,R1_S4_CURFEW,72,CURFEW_L72_S00159,"[""CURFEW""]","[0.0,0.0,0.0,0.0,0.313153878586,1.0,1.0,1.0,1.0,1.0]","[[0.0],[0.0],[0.0],[0.0],[0.313153878586],[1.0],[1.0],[1.0],[1.0],[1.0]]",EXACT_FINITE_STATE_SPACE,66396154c269c013a3ad3c92fda536a870be75175ee3c70f2a8bcd844385ed35,"[""09f349c4e278b563a11e97d456a23cc89d0602b6ae264c7c45f6e3f7f78172d1""]","[""CURFEW_START_00206""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S4_OPERATIONAL_REGIME_SUPPORT,R1_S4_CURFEW,R1_S4_CURFEW,72,CURFEW_L72_S00160,"[""CURFEW""]","[0.0,0.0,0.0,0.0,0.30698103908,1.0,1.0,1.0,1.0,1.0]","[[0.0],[0.0],[0.0],[0.0],[0.30698103908],[1.0],[1.0],[1.0],[1.0],[1.0]]",EXACT_FINITE_STATE_SPACE,138327738fce669c91a8c0d7e8678f90e1db5468b2e25fca7da07e83212f1a18,"[""63d62633d66320bb286a233f038150dd206f0b89766358bbe5076eb32eb52452""]","[""CURFEW_START_00207""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S4_OPERATIONAL_REGIME_SUPPORT,R1_S4_CURFEW,R1_S4_CURFEW,72,CURFEW_L72_S00161,"[""CURFEW""]","[0.0,0.0,0.0,0.0,0.304237554855,1.0,1.0,1.0,1.0,1.0]","[[0.0],[0.0],[0.0],[0.0],[0.304237554855],[1.0],[1.0],[1.0],[1.0],[1.0]]",EXACT_FINITE_STATE_SPACE,e14a0f8be738006aa58961319322fa6e4f47e108813f3813d5f3d27c3d91325d,"[""37f7d8c0c338b80511976e95f5a7d5ea03bdab23c30286509d5b2884acfc0045""]","[""CURFEW_START_00208""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S4_OPERATIONAL_REGIME_SUPPORT,R1_S4_CURFEW,R1_S4_CURFEW,72,CURFEW_L72_S00162,"[""CURFEW""]","[0.0,0.0,0.0,0.0,0.303061775901,1.0,1.0,1.0,1.0,1.0]","[[0.0],[0.0],[0.0],[0.0],[0.303061775901],[1.0],[1.0],[1.0],[1.0],[1.0]]",EXACT_FINITE_STATE_SPACE,ea6de8af6dffd856d9aa083bfb21b6e1aeb668f1baac27362aaf6f2b19431fe1,"[""f8f684bad1924ae947cdd0fbf4a37f9ee19b24a7d523d1f737d5191cd41c4d36""]","[""CURFEW_START_00209""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S4_OPERATIONAL_REGIME_SUPPORT,R1_S4_CURFEW,R1_S4_CURFEW,72,CURFEW_L72_S00163,"[""CURFEW""]","[0.0,0.0,0.0,0.0,0.299220897986,1.0,1.0,1.0,1.0,1.0]","[[0.0],[0.0],[0.0],[0.0],[0.299220897986],[1.0],[1.0],[1.0],[1.0],[1.0]]",EXACT_FINITE_STATE_SPACE,60f382af485ca567a8b1e4b71d82e4b11efd1a3ff3d6d0fc39e7528d471bcf32,"[""e27729c2c444e0737e8170aedb2e757ce0c04ef5048c8f6cae5960693026d65c""]","[""CURFEW_START_00211""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S4_OPERATIONAL_REGIME_SUPPORT,R1_S4_CURFEW,R1_S4_CURFEW,72,CURFEW_L72_S00164,"[""CURFEW""]","[0.0,0.0,0.0,0.0,0.295380020071,1.0,1.0,1.0,1.0,1.0]","[[0.0],[0.0],[0.0],[0.0],[0.295380020071],[1.0],[1.0],[1.0],[1.0],[1.0]]",EXACT_FINITE_STATE_SPACE,13eb7206f01530068dce0ef3dfd6e45096355eb056d277e1e00bf8bf33970757,"[""7320f27b83d64d72e966d755d9abf7a0e4846d3685d514e3bc3741ae5c6242c6""]","[""CURFEW_START_00212""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S4_OPERATIONAL_REGIME_SUPPORT,R1_S4_CURFEW,R1_S4_CURFEW,72,CURFEW_L72_S00165,"[""CURFEW""]","[0.0,0.0,0.0,0.0,0.279947921306,1.0,1.0,1.0,1.0,1.0]","[[0.0],[0.0],[0.0],[0.0],[0.279947921306],[1.0],[1.0],[1.0],[1.0],[1.0]]",EXACT_FINITE_STATE_SPACE,7987463ab317f45d7461dff6458e530a794fc2f3a52ea56e148be5b21447cb41,"[""2cf5224170714a45f799b1767f2896a293c4781f7e06926d41d5ae1f9651328b""]","[""CURFEW_START_00213""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
